,param_criterion,param_max_depth,param_max_features,param_min_samples_split,mean_train_score,mean_test_score
98,gini,16,7,12,0.8599646549666867,0.6037525879917184
99,gini,16,7,17,0.7915126771282806,0.6058229813664596
100,gini,16,9,2,1.0,0.5975284679089027
101,gini,16,9,7,0.9471017717665422,0.5975155279503106
102,gini,16,9,12,0.8620382732532265,0.6037655279503106
103,gini,16,9,17,0.7966918854769321,0.6037396480331262
104,gini,16,11,2,1.0,0.5933876811594202
105,gini,16,11,7,0.9512457834278232,0.5975284679089027
106,gini,16,11,12,0.8620414981650252,0.6037525879917184
107,gini,16,11,17,0.8008326722264146,0.5995988612836439
108,gini,16,13,2,1.0,0.591304347826087
109,gini,16,13,7,0.9522842050269925,0.5892080745341616
110,gini,16,13,12,0.8672303812490728,0.6037396480331262
111,gini,16,13,17,0.804983133711293,0.6016433747412008
112,entropy,1,1,2,0.5062273046832169,0.5
113,entropy,1,1,7,0.5062273046832169,0.5
114,entropy,1,1,12,0.5062273046832169,0.5
115,entropy,1,1,17,0.5062273046832169,0.5
116,entropy,1,3,2,0.5757112542971949,0.5663561076604554
117,entropy,1,3,7,0.5757112542971949,0.5663561076604554
118,entropy,1,3,12,0.5757112542971949,0.5663561076604554
119,entropy,1,3,17,0.5757112542971949,0.5663561076604554
120,entropy,1,5,2,0.604741910308753,0.5953804347826087
121,entropy,1,5,7,0.604741910308753,0.5953804347826087
122,entropy,1,5,12,0.604741910308753,0.5953804347826087
123,entropy,1,5,17,0.604741910308753,0.5953804347826087
124,entropy,1,7,2,0.6213276316892733,0.597463768115942
125,entropy,1,7,7,0.6213276316892733,0.597463768115942
126,entropy,1,7,12,0.6213276316892733,0.597463768115942
127,entropy,1,7,17,0.6213276316892733,0.597463768115942
128,entropy,1,9,2,0.6348238875666751,0.6223343685300207
129,entropy,1,9,7,0.6348238875666751,0.6223343685300207
130,entropy,1,9,12,0.6348238875666751,0.6223343685300207
131,entropy,1,9,17,0.6348238875666751,0.6223343685300207
132,entropy,1,11,2,0.6068510026250782,0.6098990683229814
133,entropy,1,11,7,0.6068510026250782,0.6098990683229814
134,entropy,1,11,12,0.6068510026250782,0.6098990683229814
135,entropy,1,11,17,0.6068510026250782,0.6098990683229814
136,entropy,1,13,2,0.5954283650342163,0.595406314699793
137,entropy,1,13,7,0.5954283650342163,0.595406314699793
138,entropy,1,13,12,0.5954283650342163,0.595406314699793
139,entropy,1,13,17,0.5954283650342163,0.595406314699793
140,entropy,6,1,2,0.845446102049109,0.6264751552795031
141,entropy,6,1,7,0.7738627348542018,0.6223343685300207
142,entropy,6,1,12,0.7313132485826513,0.6182065217391305
143,entropy,6,1,17,0.7064040298497837,0.6202639751552795
144,entropy,6,3,2,0.895248414955851,0.6182453416149069
145,entropy,6,3,7,0.8506478847803512,0.6182194616977226
146,entropy,6,3,12,0.7873557658198048,0.6161490683229814
147,entropy,6,3,17,0.7427455609089092,0.6203027950310559
148,entropy,6,5,2,0.9190998626187574,0.612021221532091
149,entropy,6,5,7,0.8693072244474114,0.6078674948240166
150,entropy,6,5,12,0.8060280051340595,0.6078545548654244
151,entropy,6,5,17,0.7562353669627137,0.6099378881987577
152,entropy,6,7,2,0.9273975606767154,0.6141045548654244
153,entropy,6,7,7,0.8755280793070309,0.6140916149068323
154,entropy,6,7,12,0.8236585979373464,0.6057841614906833
155,entropy,6,7,17,0.77075714479209,0.5975025879917184
156,entropy,6,9,2,0.9273878859413195,0.6057971014492755
157,entropy,6,9,7,0.8848545242287623,0.601656314699793
158,entropy,6,9,12,0.8298826777087647,0.5975025879917184
159,entropy,6,9,17,0.7759428029643388,0.6057841614906833
160,entropy,6,11,2,0.9315415723379966,0.6057841614906833
161,entropy,6,11,7,0.894187418974091,0.5954580745341614
162,entropy,6,11,12,0.8361035325683842,0.5975155279503106
163,entropy,6,11,17,0.7717826667440645,0.6099508281573499
164,entropy,6,13,2,0.9356888089110763,0.5995600414078676
165,entropy,6,13,7,0.8952290654850589,0.5850802277432713
166,entropy,6,13,12,0.835065110969215,0.5892080745341616
167,entropy,6,13,17,0.7748947066297737,0.5995471014492754
168,entropy,11,1,2,1.0,0.6057712215320911
169,entropy,11,1,7,0.8817618338138452,0.624417701863354
170,entropy,11,1,12,0.7738691846777991,0.6181935817805383
171,entropy,11,1,17,0.715749824242307,0.6181935817805383
172,entropy,11,3,2,1.0,0.6203027950310559
173,entropy,11,3,7,0.9232406493682398,0.6161490683229814
174,entropy,11,3,12,0.8247002444483144,0.6119953416149069
175,entropy,11,3,17,0.7614178002231639,0.6223731884057971
176,entropy,11,5,2,1.0,0.601669254658385
177,entropy,11,5,7,0.938804073708584,0.612021221532091
178,entropy,11,5,12,0.8433757086743677,0.5995859213250517
179,entropy,11,5,17,0.7707635946156873,0.6140916149068323
180,entropy,11,7,2,1.0,0.6140916149068323
181,entropy,11,7,7,0.9522842050269925,0.6058100414078674
182,entropy,11,7,12,0.8506253103977605,0.6078545548654244
