,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
178,0.00203553835550944,4.6199235093846276e-05,0.0,0.0,100.0,auto,none,saga,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'saga'}",,,,,,121,,,,,
179,0.0025154749552408853,0.0003828874871978736,0.0,0.0,100.0,auto,none,lbfgs,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'lbfgs'}",,,,,,122,,,,,
180,0.0006774266560872396,0.0004792295416219915,0.0,0.0,100.0,balanced,l1,newton-cg,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,123,,,,,
181,0.0006365776062011719,0.0004519458376186278,0.0,0.0,100.0,balanced,l1,sag,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'sag'}",,,,,,125,,,,,
182,1.9151808420817058,0.06933191030743192,0.0017893314361572266,0.0003000865716574023,100.0,balanced,l1,saga,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
183,0.0010464986165364583,7.034609658124152e-05,0.0,0.0,100.0,balanced,l1,lbfgs,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,108,,,,,
184,0.6745425860087076,0.36605177227382024,0.0013337135314941406,0.00047339536371966,100.0,balanced,l2,newton-cg,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}",0.5714285714285714,0.5714285714285714,0.525,0.5559523809523809,0.021886638465297877,24,0.6074766355140186,0.6292834890965732,0.6490683229813664,0.6286094825306527,0.016986422621877766
185,0.9689791997273763,0.17833852186727558,0.0017029444376627605,0.0004404901094427458,100.0,balanced,l2,sag,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.53125,0.5518245341614907,0.022950285169357574,29,0.6105919003115264,0.6105919003115264,0.639751552795031,0.6203117844726946,0.013745992005419505
186,1.2091515064239502,0.021938298215182405,0.001676797866821289,0.00045721004870322754,100.0,balanced,l2,saga,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
187,3.051053285598755,0.7100160956187718,0.0019998550415039062,2.167730601149536e-06,100.0,balanced,l2,lbfgs,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5714285714285714,0.5714285714285714,0.525,0.5559523809523809,0.021886638465297877,24,0.6043613707165109,0.6261682242990654,0.65527950310559,0.6286030327070554,0.02085841589519943
188,3.9838855266571045,3.2332570097667794,0.001619259516398112,0.00044105286302334186,100.0,balanced,none,newton-cg,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'newton-cg'}",0.5714285714285714,0.5714285714285714,0.53125,0.5580357142857143,0.018940360210353935,9,0.6074766355140186,0.6292834890965732,0.6490683229813664,0.6286094825306527,0.016986422621877766
189,1.040061632792155,0.2677136057545057,0.001649777094523112,0.0005937753750044949,100.0,balanced,none,sag,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.55,0.5580745341614907,0.018645613755953448,7,0.6105919003115264,0.6105919003115264,0.6366459627329193,0.619276587785324,0.012282002810416325
190,1.2899901866912842,0.10048770868017244,0.002030611038208008,4.970250690322942e-05,100.0,balanced,none,saga,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
191,3.0424954096476235,0.15968073250847925,0.0015820662180582683,0.0006129019487513531,100.0,balanced,none,lbfgs,"{'C': 100.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'lbfgs'}",0.5590062111801242,0.5527950310559007,0.5375,0.5497670807453416,0.009037169252350197,32,0.6105919003115264,0.6261682242990654,0.6614906832298136,0.6327502692801352,0.02129419346113474
192,0.0,0.0,0.0,0.0,1000.0,auto,l1,newton-cg,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,106,,,,,
193,0.00014026959737141928,0.00019837116699127457,0.0,0.0,1000.0,auto,l1,sag,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'sag'}",,,,,,100,,,,,
194,0.0018856525421142578,0.0006815639801566654,0.0,0.0,1000.0,auto,l1,saga,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'saga'}",,,,,,101,,,,,
195,0.0,0.0,0.0,0.0,1000.0,auto,l1,lbfgs,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,102,,,,,
