,param_max_depth,param_max_features,param_min_samples_split,param_min_weight_fraction_leaf,mean_train_score,mean_test_score,diff
51,6,auto,12,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
52,6,auto,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
55,6,auto,17,0.1,0.9927310488058151,0.6120341614906832,0.38069688731513185
56,6,auto,17,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
57,6,auto,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
60,6,sqrt,2,0.1,0.9616074250369252,0.6099767080745342,0.351630716962391
61,6,sqrt,2,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
62,6,sqrt,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
65,6,sqrt,7,0.1,0.9616074250369252,0.6099767080745342,0.351630716962391
66,6,sqrt,7,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
67,6,sqrt,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
70,6,sqrt,12,0.1,0.9616074250369252,0.6099767080745342,0.351630716962391
71,6,sqrt,12,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
72,6,sqrt,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
75,6,sqrt,17,0.1,0.9616074250369252,0.6099767080745342,0.351630716962391
76,6,sqrt,17,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
77,6,sqrt,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
80,11,auto,2,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
81,11,auto,2,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
82,11,auto,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
85,11,auto,7,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
86,11,auto,7,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
87,11,auto,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
90,11,auto,12,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
91,11,auto,12,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
92,11,auto,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
95,11,auto,17,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
96,11,auto,17,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
97,11,auto,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
100,11,sqrt,2,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
101,11,sqrt,2,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
102,11,sqrt,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
105,11,sqrt,7,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
106,11,sqrt,7,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
107,11,sqrt,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
110,11,sqrt,12,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
111,11,sqrt,12,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
112,11,sqrt,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
115,11,sqrt,17,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
116,11,sqrt,17,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
117,11,sqrt,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
120,16,auto,2,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
121,16,auto,2,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
122,16,auto,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
125,16,auto,7,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
126,16,auto,7,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
127,16,auto,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
130,16,auto,12,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
131,16,auto,12,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
132,16,auto,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
135,16,auto,17,0.1,0.9927310488058151,0.5809653209109731,0.411765727894842
136,16,auto,17,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
137,16,auto,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
140,16,sqrt,2,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
141,16,sqrt,2,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
142,16,sqrt,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
145,16,sqrt,7,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
146,16,sqrt,7,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
147,16,sqrt,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
150,16,sqrt,12,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
151,16,sqrt,12,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
152,16,sqrt,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
155,16,sqrt,17,0.1,0.9605722283495547,0.6182971014492754,0.3422751269002793
156,16,sqrt,17,0.3,0.7209548318853479,0.6431806418219462,0.0777741900634017
157,16,sqrt,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
