,param_C,param_degree,param_gamma,param_kernel,mean_train_score,mean_test_score
283,3.1622776601683795e-05,2,9,sigmoid,0.5,0.5
284,3.1622776601683795e-05,2,10,linear,0.5435556587527332,0.5228649068322981
285,3.1622776601683795e-05,2,10,poly,0.572673387382855,0.48121118012422365
286,3.1622776601683795e-05,2,10,rbf,0.5,0.5
287,3.1622776601683795e-05,2,10,sigmoid,0.5,0.5
288,3.1622776601683795e-05,3,auto,linear,0.5435556587527332,0.5228649068322981
289,3.1622776601683795e-05,3,auto,poly,0.6057416329663384,0.4504270186335404
290,3.1622776601683795e-05,3,auto,rbf,0.5,0.5
291,3.1622776601683795e-05,3,auto,sigmoid,0.5,0.5
292,3.1622776601683795e-05,3,scale,linear,0.5435556587527332,0.5228649068322981
293,3.1622776601683795e-05,3,scale,poly,0.5,0.5
294,3.1622776601683795e-05,3,scale,rbf,0.5,0.5
295,3.1622776601683795e-05,3,scale,sigmoid,0.5,0.5
296,3.1622776601683795e-05,3,1,linear,0.5435556587527332,0.5228649068322981
297,3.1622776601683795e-05,3,1,poly,0.6441213082822185,0.4939182194616977
298,3.1622776601683795e-05,3,1,rbf,0.5,0.5
299,3.1622776601683795e-05,3,1,sigmoid,0.5,0.5
300,3.1622776601683795e-05,3,2,linear,0.5435556587527332,0.5228649068322981
301,3.1622776601683795e-05,3,2,poly,0.6441213082822185,0.4939182194616977
302,3.1622776601683795e-05,3,2,rbf,0.5,0.5
303,3.1622776601683795e-05,3,2,sigmoid,0.5,0.5
304,3.1622776601683795e-05,3,3,linear,0.5435556587527332,0.5228649068322981
305,3.1622776601683795e-05,3,3,poly,0.5996272001960746,0.47697981366459635
306,3.1622776601683795e-05,3,3,rbf,0.5,0.5
307,3.1622776601683795e-05,3,3,sigmoid,0.5,0.5
308,3.1622776601683795e-05,3,4,linear,0.5435556587527332,0.5228649068322981
309,3.1622776601683795e-05,3,4,poly,0.6441213082822185,0.4939182194616977
310,3.1622776601683795e-05,3,4,rbf,0.5,0.5
311,3.1622776601683795e-05,3,4,sigmoid,0.5,0.5
312,3.1622776601683795e-05,3,5,linear,0.5435556587527332,0.5228649068322981
313,3.1622776601683795e-05,3,5,poly,0.601600846216856,0.45226449275362324
314,3.1622776601683795e-05,3,5,rbf,0.5,0.5
315,3.1622776601683795e-05,3,5,sigmoid,0.5,0.5
316,3.1622776601683795e-05,3,6,linear,0.5435556587527332,0.5228649068322981
317,3.1622776601683795e-05,3,6,poly,0.5996272001960746,0.47697981366459635
318,3.1622776601683795e-05,3,6,rbf,0.5,0.5
319,3.1622776601683795e-05,3,6,sigmoid,0.5,0.5
320,3.1622776601683795e-05,3,7,linear,0.5435556587527332,0.5228649068322981
321,3.1622776601683795e-05,3,7,poly,0.6110079139335539,0.4874741200828157
322,3.1622776601683795e-05,3,7,rbf,0.5,0.5
323,3.1622776601683795e-05,3,7,sigmoid,0.5,0.5
324,3.1622776601683795e-05,3,8,linear,0.5435556587527332,0.5228649068322981
325,3.1622776601683795e-05,3,8,poly,0.6441213082822185,0.4939182194616977
326,3.1622776601683795e-05,3,8,rbf,0.5,0.5
327,3.1622776601683795e-05,3,8,sigmoid,0.5,0.5
328,3.1622776601683795e-05,3,9,linear,0.5435556587527332,0.5228649068322981
329,3.1622776601683795e-05,3,9,poly,0.5996755738730546,0.45001293995859215
330,3.1622776601683795e-05,3,9,rbf,0.5,0.5
331,3.1622776601683795e-05,3,9,sigmoid,0.5,0.5
332,3.1622776601683795e-05,3,10,linear,0.5435556587527332,0.5228649068322981
333,3.1622776601683795e-05,3,10,poly,0.601600846216856,0.45226449275362324
334,3.1622776601683795e-05,3,10,rbf,0.5,0.5
335,3.1622776601683795e-05,3,10,sigmoid,0.5,0.5
336,3.1622776601683795e-05,4,auto,linear,0.5435556587527332,0.5228649068322981
337,3.1622776601683795e-05,4,auto,poly,0.6223628283766439,0.4462085921325052
338,3.1622776601683795e-05,4,auto,rbf,0.5,0.5
339,3.1622776601683795e-05,4,auto,sigmoid,0.5,0.5
340,3.1622776601683795e-05,4,scale,linear,0.5435556587527332,0.5228649068322981
341,3.1622776601683795e-05,4,scale,poly,0.5,0.5
342,3.1622776601683795e-05,4,scale,rbf,0.5,0.5
343,3.1622776601683795e-05,4,scale,sigmoid,0.5,0.5
344,3.1622776601683795e-05,4,1,linear,0.5435556587527332,0.5228649068322981
345,3.1622776601683795e-05,4,1,poly,0.6202988848255,0.5083721532091098
346,3.1622776601683795e-05,4,1,rbf,0.5,0.5
347,3.1622776601683795e-05,4,1,sigmoid,0.5,0.5
